status,city,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixed,Arlington,2019,TX,1.12E+10,134308,13.79877953,54405,45237,34666,4490106,2293059,145299,134308,10991,79814,59677,27452,15734,13288,2172.9,199.92,248246,37664,117073,93509,62.33212217,129795,79655,19880,271,4492,2765,2062,0,5132,4601,246,0,10,33,242,4.793452845,0,0.6430241621,5.436477007,5132,101,633,401,658,1274,662,1403,394274,1.968043648,12.33437256,7.813717849,22.11613406
banked,Arlington Heights,2019,IL,4.36E+09,36544,10.82484009,9697,10248,16599,1886261,956680,38880,36544,2336,30495,10537,6098,2159,1929,565.8,49.11,65425,3597,21497,40331,38.35536874,20909,16060,1947,1450,14268,9975,6769,17,18212,15040,1551,66,532,696,327,8.516362838,0.3623984186,3.821656051,12.70041731,18212,1457,2704,1211,4102,3373,2813,2552,89581,8.000219635,14.84735339,6.649461893,29.49703492
underbanked,Birmingham,2019,AL,1.32E+10,151379,19.26765917,72178,39354,39847,5598205,3006763,180786,151379,29407,95784,63744,28824,13702,15737,3018.3,237.18,256785,23711,111818,121256,52.77917324,103571,65475,17172,618,8486,5214,4492,0,10341,9233,326,15,179,81,507,3.152499758,0.1450536699,0.7832898172,4.080843245,10341,431,1611,868,1635,1947,1735,2114,374607,4.167875447,15.57876414,8.393772362,28.14041195
underbanked,Bridgeport,2019,CT,3.51E+09,50638,18.48062676,26915,14092,9631,1728727,898886,58552,50638,7914,48361,29450,10716,7284,9970,1505,108.41,93895,22168,48222,23505,74.96671814,46535,29008,8175,275,3802,2229,1847,15,4609,4386,8,27,14,124,50,0.1735734433,0.585810371,2.690388371,3.449772185,4609,259,722,350,745,991,738,804,145639,5.619440226,15.66500325,7.593838143,28.87828162
banked,Burbank,2019,CA,4.52E+09,42356,13.49992425,14257,12316,15783,1957643,936157,44468,42356,2112,45523,24558,10308,5707,7361,779.9,61.59,78099,6450,31573,40076,48.68564258,24144,15486,4530,6981,90008,58043,38655,198,115111,54096,25486,328,3162,21669,10370,22.14036886,0.28494236,18.82443902,41.24975024,115111,7227,21163,8473,22793,24626,13560,17269,105608,6.278287913,18.38486331,7.360721391,32.02387261
banked,Danville,2019,CA,4.89E+09,21291,4.10900505,2506,3151,15634,1576188,675239,22038,21291,747,30061,2799,1633,412,669,232.8,25.58,41196,829,8670,31697,23.05806389,18222,14032,2362,642,9983,7389,4476,0,13565,12371,10,1,936,117,130,0.07371913011,0.007371913011,0.8625138223,0.9436048655,13565,1204,2829,723,2353,3391,1599,1466,60988,8.875783266,20.85514191,5.329893107,35.06081828
banked,Deer Park,2019,NY,1.04E+09,8904,7.807350179,2203,2556,4145,655733,276196,9562,8904,658,14397,1704,668,412,476,226.5,22.15,20058,1849,10010,8199,59.12354173,7261,4790,1056,303,5347,3239,2353,0,6507,5798,193,11,93,362,50,2.966036576,0.1690487168,5.563239588,8.698324881,6507,288,1139,425,1032,1196,1039,1388,28217,4.426002766,17.50422622,6.531427693,28.46165668
underbanked,Detroit,2019,MI,1.23E+10,256614,27.3289092,178522,55444,22648,8756038,5615730,351231,256614,94617,204238,136308,48160,30771,41594,10967.5,715.83,423267,79344,246846,97077,77.06483142,201957,126347,19473,166,2707,1341,1314,5,3071,902,0,44,137,1688,300,0,1.432758059,54.96580918,56.39856724,3071,65,349,213,504,458,601,881,653235,2.116574406,11.36437642,6.935851514,20.41680234
underbanked,East Cleveland,2019,OH,2.89E+08,8235,39.64534884,6819,1059,357,249946,179998,13297,8235,5062,6942,5680,2311,1080,1653,406.5,23.3,11971,2111,7736,2124,82.25712138,4343,2579,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17200,0,0,0,0
underbanked,East Palo Alto,2019,CA,6.54E+08,5261,6.814659495,1495,1459,2307,239355,87281,5564,5261,303,6242,2324,1141,389,612,98.9,12.89,13795,4466,6062,3267,76.31750634,7484,4935,899,1042,14462,8499,6212,45,17412,13260,61,13,2,3313,763,0.3503331036,0.07466115323,19.02710774,19.452102,17412,676,2841,1236,2243,3581,3111,3724,21938,3.882379968,16.31633356,7.098552722,27.29726625
