status,city,year,state,total_tract_income,total_households_with_income,percent_householdsbelow50k_of_total,total_households_income_below_50k,total_households_income_50k_and_100k,total_households_income_100k_plus,bucket_annual_income_household,median_annual_income_individual,total_housing_units,occupied_housing_units,vacant_housing_units,median_monthly_housing_costs,total_households,total_rent_burden_normal,total_rent_burden_moderate,total_rent_burden_severe,percent_rent_burden_normal,percent_rent_burden_moderate,percent_rent_burden_severe,median_gross_rent_burden,avg_household_size,total_25_and_older,total_highest_not_graduate_hs,total_highest_graduate_hs,total_highest_college_degree,percent_graduate_hs,percent_no_college_degree,percent_college_degree,total_3_to_24,total_enrolled_pre_college,total_enrolled_higher_education,total_not_enrolled,total_employable,total_employed,complete_plumbing_occupied_housing,lacking_plumbing_occupied_housing,total_all_races,total_white_non_hispanic,total_african_american,total_native_american,total_asian,total_hispanic,total_other,percent_african_american,percent_native_american,percent_hispanic,percent_urm,total_all_ages,total_0_4,total_5_17,total_18_24,total_25_39,total_40_54,total_55_64,total_65_plus,total_population,percent_0_4,percent_5_17,percent_18_24,percent_children,percent_youth,percent_elderly
underbanked,San Bernardino,2019,CA,4.45E+09,66695,14.41515617,35016,19607,12072,2096032,967693,73281,66695,6586,49866,33499,11633,9113,11463,36.11723431,28.29333416,35.58943153,1625.2,150.85,140091,41916,72434,25741,51.7049632,81.62551484,18.37448516,91271,58465,11458,19,990,650,533,0,1127,1105,2,0,3,11,6,0.1774622893,0,0.9760425909,1.15350488,1127,39,106,48,149,231,266,288,242911,3.460514641,9.405501331,4.259094942,12.86601597,17.12511091,0.1185619424
banked,Irvine,2019,CA,1.14E+10,84508,8.856103862,21358,19637,43513,3426043,1602493,89563,84508,5055,79674,41966,18070,9539,11100,46.68165026,24.64284792,28.67550182,1116,92.76,155964,5663,34665,115636,22.22628299,25.85724911,74.14275089,76318,42614,25942,53,1553,956,709,6,1895,961,633,44,11,67,179,33.40369393,2.321899736,3.535620053,39.26121372,1895,89,316,130,282,360,355,363,241167,4.696569921,16.67546174,6.860158311,21.37203166,28.23218997,0.1505181057
underbanked,Amarillo,2019,TX,6.74E+09,87574,16.80885346,39642,28170,19762,3338683,1801570,97560,87574,9986,54536,31808,16123,6895,6824,54.02788017,23.10501977,22.86710006,1692.8,152.44,154121,23602,81046,49473,52.58595519,67.89989683,32.10010317,72105,48163,6580,272,3714,2204,1726,12,4561,4456,26,5,6,10,58,0.5700504275,0.1096250822,0.2192501644,0.8989256742,4561,297,709,382,812,910,656,795,235840,6.511729884,15.54483666,8.375356282,22.05656654,30.43192282,0.3370929444
underbanked,Chattanooga,2019,TN,7.19E+09,98694,21.87900653,51366,28054,19274,2728299,1561439,111373,98694,12679,49632,43599,20084,11360,9013,49.64283066,28.07919519,22.27797415,1758.3,128.07,164986,19008,82303,63675,49.88483871,61.40581625,38.59418375,61439,35254,11064,497,4270,2416,2084,0,5477,1917,3552,0,2,0,6,64.85302173,0,0,64.85302173,5477,364,996,505,1055,1098,654,805,234773,6.645974073,18.18513785,9.220376118,24.83111192,34.05148804,0.3428844032
underbanked,Des Moines,2019,IA,6.38E+09,87747,18.54231804,40802,29407,17538,3180356,1775128,95246,87747,7499,54498,34521,17137,7263,8193,52.57877458,22.283926,25.13729942,1696.4,142.84,146025,19459,75016,51550,51.37202534,64.69782571,35.30217429,64993,39902,8338,135,1796,1048,904,8,2261,1660,4,473,5,12,107,0.1769128704,20.91994693,0.5307386112,21.62759841,2261,57,477,146,297,425,394,465,220048,2.521008403,21.0968598,6.45731977,23.6178682,30.07518797,0.2113175307
banked,Glendale,2019,CA,7.38E+09,74698,14.86425746,29763,19773,25162,2924852,1302157,78962,74698,4264,77060,50076,19029,10450,18438,39.71241939,21.80854394,38.47903667,1501.7,107.29,150397,19186,54634,76577,36.32652247,49.08342587,50.91657413,44388,27989,8905,471,8334,5864,3951,0,10648,6343,3113,0,75,617,500,29.23553719,0,5.794515402,35.03005259,10648,659,2151,726,2078,2093,1413,1528,200232,6.188955672,20.20097671,6.818181818,26.38993238,33.2081142,0.7631147868
underbanked,Columbus,2019,GA,5.11E+09,72759,19.8095423,38775,21173,12811,2236129,1281778,84723,72759,11964,45644,37823,17718,8610,9493,49.46260573,24.03617989,26.50121437,1732.5,132.92,127141,15197,67495,44449,53.08673048,65.0396017,34.9603983,60395,38362,8266,183,1923,1170,846,0,2380,867,8,17,10,1310,168,0.3361344538,0.7142857143,55.04201681,56.09243697,2380,112,442,265,469,393,377,322,195739,4.705882353,18.57142857,11.13445378,23.27731092,34.41176471,0.1645047742
underbanked,Cape Coral,2019,FL,5.77E+09,69700,14.68776661,28234,25068,16398,1670457,832292,89806,69700,20106,31847,17101,7732,4092,4176,48.325,25.575,26.1,929.8,74.7,145104,12425,84484,48195,58.22306759,66.7858915,33.2141085,41967,28629,4355,154,2058,1302,900,20,2452,2115,10,0,8,161,158,0.4078303426,0,6.566068515,6.973898858,2452,79,355,179,372,641,313,513,192228,3.221859706,14.47797716,7.300163132,17.69983687,25,0.2668705912
banked,Rockville,2019,MD,1.18E+10,69734,6.665649786,12673,16138,40923,5196613,2284354,72971,69734,3237,86574,23600,12539,5576,4730,54.88728387,24.40796673,20.7047494,1005.1,106.01,134378,9933,30283,94162,22.53568292,29.9275179,70.0724821,49866,34617,6858,355,5049,3033,2272,0,6108,4376,17,37,140,782,756,0.2783235102,0.6057629339,12.80288147,13.68696791,6108,302,918,466,597,1234,1123,1468,190124,4.944335298,15.02946955,7.629338572,19.97380485,27.60314342,0.7721276641
underbanked,Charleston,2019,SC,7.42E+09,74671,14.93223752,27435,23738,23498,2948146,1532280,85249,74671,10578,58927,30986,14660,6971,6304,52.47896904,24.95435833,22.56667263,1299.9,101.88,131061,7729,49333,73999,37.64125102,43.53850497,56.46149503,46223,24597,12504,68,1574,854,820,0,1783,1727,0,0,0,21,35,0,0,1.177790241,1.177790241,1783,31,212,76,214,251,430,569,183730,1.738642737,11.89007291,4.262478968,13.62871565,17.89119462,0.3096935721
underbanked,Allentown,2019,PA,4.93E+09,63064,17.14710901,29843,19113,14108,2012000,1005975,67585,63064,4521,41129,29078,12105,7511,8023,43.79680886,27.17536814,29.027823,1223.8,100.24,112409,17790,57224,37395,50.90695585,66.73309077,33.26690923,54800,33759,7160,387,4365,2826,2371,0,5314,5007,43,30,57,60,117,0.8091832894,0.564546481,1.129092962,2.502822732,5314,287,813,395,768,1071,843,1137,174041,5.400828002,15.29920963,7.433195333,20.70003764,28.13323297,0.6532943387
underbanked,Jackson,2019,MS,3.70E+09,62451,22.21779813,37944,16197,8310,1996357,1164419,74834,62451,12383,40067,31054,13048,7372,8074,45.79209658,25.87211343,28.33578999,1693.3,134.44,108820,15551,55711,37558,51.19555229,65.48612387,34.51387613,55121,34169,8848,461,7616,3296,3991,2,8747,8286,39,110,0,107,205,0.4458671545,1.257574025,1.223276552,2.926717732,8747,332,1002,535,917,1324,1779,2858,170782,3.795587058,11.45535612,6.11638276,15.25094318,21.36732594,1.67347847
banked,Hollywood,2019,FL,5.25E+09,61318,16.37453547,27671,19010,14637,2100326,1012618,74139,61318,12821,45316,25807,9354,7249,7785,38.35492865,29.72363457,31.92143677,1210.2,94.43,121132,15115,58656,47361,48.42320774,60.90133078,39.09866922,41807,28698,5021,857,10242,6653,5225,44,13408,10980,0,507,61,1486,374,0,3.781324582,11.08293556,14.86426014,13408,650,2861,762,2660,2671,1408,2396,168988,4.847852029,21.33800716,5.683174224,26.18585919,31.86903341,1.417852155
underbanked,Ann Arbor,2019,MI,7.89E+09,66245,13.45183391,22658,17601,25986,3989399,2030841,70587,66245,4342,67357,31656,14761,6317,8830,49.35468771,21.12143908,29.52387321,1307.7,108.85,99245,2756,18366,78123,18.50571817,21.28268427,78.71731573,65321,21859,35792,175,4148,2636,2219,0,5196,5017,0,34,5,100,40,0,0.6543494996,1.924557352,2.578906851,5196,318,848,228,719,1064,921,1098,168438,6.120092379,16.32024634,4.387990762,22.44033872,26.82832948,0.6518719054
underbanked,Augusta,2019,GA,4.00E+09,59308,20.76291437,33453,16248,9607,1643935,921552,75195,59308,15887,32162,28745,11594,6742,8175,43.73279016,25.43095319,30.83625665,1361.2,100.89,108048,17801,55011,35236,50.9134829,67.38856804,32.61143196,46505,29495,5522,288,4549,2578,2006,9,5345,4821,52,0,134,64,274,0.9728718428,0,1.19738073,2.170252572,5345,162,767,1410,912,754,695,645,161119,3.030869972,14.34985968,26.3797942,17.38072965,43.76052385,0.4003252255
banked,Naperville,2019,IL,8.73E+09,56319,5.970672577,9536,12898,33885,4177107,1765030,59238,56319,2919,65385,13423,7436,2970,2358,58.2575995,23.26856785,18.47383265,882.5,92.47,106329,3394,25347,77588,23.83827554,27.03025515,72.96974485,48176,34246,7281,393,11981,7417,5559,0,15442,12612,321,173,851,881,604,2.078746276,1.120321202,5.705219531,8.904287009,15442,904,3252,574,2417,3868,1585,2842,159714,5.854163968,21.05944826,3.717135086,26.91361223,30.63074731,1.779430732
underbanked,Beaumont,2019,TX,4.39E+09,56607,17.09019934,26706,16672,13229,2042365,1168463,65348,56607,8741,31540,23103,11229,5370,4400,53.47397495,25.57264632,20.95337873,1108.6,97.88,105590,15138,59700,30752,56.53944502,70.87602993,29.12397007,44065,26965,6022,684,6243,3778,3095,0,8076,6843,144,97,42,510,440,1.783060921,1.201089648,6.315007429,9.299157999,8076,707,1305,590,1511,1165,1267,1531,156265,8.754333829,16.1589896,7.30559683,24.91332343,32.21892026,0.9797459444
banked,Fullerton,2019,CA,5.46E+09,49454,9.780225551,14899,14759,19796,2534523,1030518,51950,49454,2496,54358,23825,9110,7288,6187,40.33650653,32.26920522,27.39428824,988.4,88.96,100903,12660,38802,49441,38.45475358,51.00145684,48.99854316,46038,26936,10497,317,3921,2328,1767,0,4680,3536,679,0,0,304,161,14.50854701,0,6.495726496,21.0042735,4680,222,661,402,534,1012,790,1059,152338,4.743589744,14.12393162,8.58974359,18.86752137,27.45726496,0.6951646995
underbanked,Albany,2019,NY,5.10E+09,62479,18.63836465,28028,17952,16499,2057537,1098649,71198,62479,8719,38969,33281,15472,7666,9051,48.06610954,23.81558918,28.11830128,1131.7,76.35,94635,8955,34713,50967,36.680932,46.14360437,53.85639563,51429,20780,20845,380,4705,3003,2439,7,5822,5478,57,33,42,122,90,0.9790450017,0.5668155273,2.095499828,3.641360357,5822,300,1034,404,893,1104,930,1157,150378,5.15286843,17.76021986,6.939196153,22.91308829,29.85228444,0.7693944593
underbanked,Bridgeport,2019,CT,3.51E+09,50638,18.48062676,26915,14092,9631,1728727,898886,58552,50638,7914,48361,29450,10716,7284,9970,38.31247765,26.04218806,35.64533429,1505,108.41,93895,22168,48222,23505,51.35736727,74.96671814,25.03328186,46535,29008,8175,275,3802,2229,1847,15,4609,4386,8,27,14,124,50,0.1735734433,0.585810371,2.690388371,3.449772185,4609,259,722,350,745,991,738,804,145639,5.619440226,15.66500325,7.593838143,21.28444348,28.87828162,0.5520499317
underbanked,Cedar Rapids,2019,IA,4.63E+09,58122,16.99337985,23744,19928,14450,1844905,1015964,62618,58122,4496,28907,17230,9613,3601,3317,58.15135201,21.78331619,20.0653318,827.8,71.61,93928,6153,46727,41048,49.74767907,56.29844136,43.70155864,40354,24942,5625,287,2992,1314,978,0,3828,1689,1916,0,4,192,27,50.0522466,0,5.015673981,55.06792059,3828,347,596,912,546,491,390,546,139725,9.064785789,15.56948798,23.82445141,24.63427377,48.45872518,0.3907675792
underbanked,Bloomington,2019,IN,3.77E+09,50756,19.26884374,25927,13603,11226,1468893,737292,56398,50756,5642,26896,23719,8706,5103,8143,39.65925656,23.24617347,37.09456997,999.3,67.51,75505,5615,28599,41291,37.87696179,45.31355539,54.68644461,56048,16612,31442,486,3464,1907,1252,44,5354,338,17,340,17,2307,2335,0.3175196115,6.35039223,43.08927904,49.75719089,5354,644,1465,431,1302,707,517,288,134554,12.02838999,27.36271946,8.050056033,39.39110945,47.44116548,0.2140404596
underbanked,Canton,2019,OH,3.65E+09,57896,23.26758205,31129,17257,9510,1428227,805895,64106,57896,6210,23351,22798,11903,5013,4713,55.03259513,23.17721578,21.7901891,917.9,71.71,92859,9323,55927,27609,60.22787237,70.26782541,29.73217459,36962,23066,4715,145,2860,1522,1480,0,3501,3354,1,16,7,62,61,0.02856326764,0.4570122822,1.770922594,2.256498143,3501,164,544,202,582,600,663,746,133787,4.684375893,15.53841759,5.769780063,20.22279349,25.99257355,0.5576027566
underbanked,Billings,2019,MT,4.59E+09,56193,17.64979029,23566,18566,14061,1644189,861485,60172,56193,3979,27245,18841,9765,4093,4074,54.45572161,22.82511711,22.71916128,778.3,62.11,91227,5525,47343,38359,51.89582032,57.95214136,42.04785864,37472,24137,3470,2499,25536,17334,12065,19,30165,19762,266,137,1638,5566,2796,0.881816675,0.4541687386,18.45184817,19.78783358,30165,1650,3606,3057,7290,5079,4907,4576,133520,5.469915465,11.95425162,10.13426156,17.42416708,27.55842864,3.427201917
underbanked,Abilene,2019,TX,3.30E+09,45732,16.96581685,22260,14064,9408,1739014,914497,52745,45732,7013,28571,20174,9872,4878,3983,52.69844659,26.03960925,21.26194416,963.9,89.91,81616,10260,45616,25740,55.89100176,68.46206626,31.53793374,43955,23441,7724,494,5736,3571,2828,1,6865,6605,16,3,49,42,150,0.2330662782,0.04369992717,0.6117989803,0.8885651857,6865,359,954,549,1036,1512,1064,1391,131205,5.229424618,13.89657684,7.997086672,19.12600146,27.12308813,1.060173012
